anomes,ano,mesnum,mesnome,mesnomeabr,mes_key
Mar/1994,1994,3,Março,Mar,1994Mar
Abr/1994,1994,4,Abril,Abr,1994Abr
Mai/1994,1994,5,Maio,Mai,1994Mai
Jun/1994,1994,6,Junho,Jun,1994Jun
Jul/1994,1994,7,Julho,Jul,1994Jul
Ago/1994,1994,8,Agosto,Ago,1994Ago
Set/1994,1994,9,Setembro,Set,1994Set
Out/1994,1994,10,Outubro,Out,1994Out
Nov/1994,1994,11,Novembro,Nov,1994Nov
Dez/1994,1994,12,Dezembro,Dez,1994Dez
Jan/1995,1995,1,Janeiro,Jan,1995Jan
Fev/1995,1995,2,Fevereiro,Fev,1995Fev
Mar/1995,1995,3,Março,Mar,1995Mar
Abr/1995,1995,4,Abril,Abr,1995Abr
Mai/1995,1995,5,Maio,Mai,1995Mai
Jun/1995,1995,6,Junho,Jun,1995Jun
Jul/1995,1995,7,Julho,Jul,1995Jul
Ago/1995,1995,8,Agosto,Ago,1995Ago
Set/1995,1995,9,Setembro,Set,1995Set
Out/1995,1995,10,Outubro,Out,1995Out
Nov/1995,1995,11,Novembro,Nov,1995Nov
Dez/1995,1995,12,Dezembro,Dez,1995Dez
Jan/1996,1996,1,Janeiro,Jan,1996Jan
Fev/1996,1996,2,Fevereiro,Fev,1996Fev
Mar/1996,1996,3,Março,Mar,1996Mar
Abr/1996,1996,4,Abril,Abr,1996Abr
Mai/1996,1996,5,Maio,Mai,1996Mai
Jun/1996,1996,6,Junho,Jun,1996Jun
Jul/1996,1996,7,Julho,Jul,1996Jul
Ago/1996,1996,8,Agosto,Ago,1996Ago
Set/1996,1996,9,Setembro,Set,1996Set
Out/1996,1996,10,Outubro,Out,1996Out
Nov/1996,1996,11,Novembro,Nov,1996Nov
Dez/1996,1996,12,Dezembro,Dez,1996Dez
Jan/1997,1997,1,Janeiro,Jan,1997Jan
Fev/1997,1997,2,Fevereiro,Fev,1997Fev
Mar/1997,1997,3,Março,Mar,1997Mar
Abr/1997,1997,4,Abril,Abr,1997Abr
Mai/1997,1997,5,Maio,Mai,1997Mai
Jun/1997,1997,6,Junho,Jun,1997Jun
Jul/1997,1997,7,Julho,Jul,1997Jul
Ago/1997,1997,8,Agosto,Ago,1997Ago
Set/1997,1997,9,Setembro,Set,1997Set
Out/1997,1997,10,Outubro,Out,1997Out
Nov/1997,1997,11,Novembro,Nov,1997Nov
Dez/1997,1997,12,Dezembro,Dez,1997Dez
